SurveyID,Country,Ecoregion,SiteCode,SiteLat,SiteLong,geom,SurveyDate,Depth,Apogon imberbis,Atherina hepsetus,Boops boops,Centrolabrus exoletus,Chelon labrosus,Chromis chromis,Chrysophrys auratus,Coris julis,Ctenolabrus rupestris,Dentex dentex,Diplodus annularis,Diplodus cervinus,Diplodus puntazzo,Diplodus sargus,Diplodus vulgaris,Epinephelus costae,Epinephelus marginatus,Gobius bucchichi,Gobius xanthocephalus,Labrus merula,Labrus viridis,Mullus surmuletus,Muraena helena,Oblada melanura,Octopus vulgaris,Pagrus pagrus,Parablennius pilicornis,Parablennius rouxi,Pomadasys incisus,Sarpa salpa,Sciaena umbra,Seriola dumerili,Serranus cabrilla,Serranus scriba,Spicara maena,Spicara smaris,Spondyliosoma cantharus,Symphodus cinereus,Symphodus doderleini,Symphodus mediterraneus,Symphodus melanocercus,Symphodus ocellatus,Symphodus roissali,Symphodus rostratus,Symphodus tinca,Thalassoma pavo,Tripterygion delaisi
912349161,Spain,Alboran Sea,AND49,36.74,-3.6,POINT (-3.6 36.74),2015-06-30T14:00:00Z,6.1,0,0,100,0,0,280,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,47,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0
912349162,Spain,Alboran Sea,AND49,36.74,-3.6,POINT (-3.6 36.74),2015-06-30T14:00:00Z,6.2,0,0,10,0,0,108,0,12,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912349164,Spain,Alboran Sea,AND50,36.51,-4.64,POINT (-4.64 36.51),2015-06-30T14:00:00Z,2.9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,8,0
912349165,Spain,Alboran Sea,AND51,36.58,-4.54,POINT (-4.54 36.58),2015-06-30T14:00:00Z,4.9,0,0,13,0,0,0,0,4,0,0,0,0,0,2,14,0,0,3,0,0,0,2,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,1,0,0
912349166,Spain,Alboran Sea,AND51,36.58,-4.54,POINT (-4.54 36.58),2015-06-30T14:00:00Z,4.6,0,0,20,0,0,0,0,16,0,0,0,1,0,17,27,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,6,5,0,0,0,0,0,1,0,0,5,0,1,0,0
912349167,Spain,Alboran Sea,AND52,36.73,-3.77,POINT (-3.77 36.73),2015-07-01T14:00:00Z,13.0,3,0,220,0,0,2850,0,12,0,0,0,0,0,2,12,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,120,12,0,0,0,0,0,0,0,0,0,0,0,0,26,0
912349168,Spain,Alboran Sea,AND53,36.73,-3.77,POINT (-3.77 36.73),2015-07-01T14:00:00Z,8.1,0,0,101,0,0,430,0,45,0,0,0,2,1,2,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1
912349169,Spain,Alboran Sea,AND53,36.73,-3.77,POINT (-3.77 36.73),2015-07-01T14:00:00Z,7.3,0,0,715,0,0,451,0,78,2,0,0,5,0,52,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1,0,3,0,0,0,57,0
912349170,Spain,Alboran Sea,AND54,36.75,-3.84,POINT (-3.84 36.75),2015-07-01T14:00:00Z,4.1,0,0,64,0,0,42,0,25,2,0,0,1,0,9,19,0,0,1,0,0,0,11,0,0,0,0,6,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,13,0
912349171,Spain,Alboran Sea,AND55,36.43,-5.12,POINT (-5.12 36.43),2015-07-02T14:00:00Z,7.3,0,0,0,0,0,0,0,72,1,0,0,0,0,37,55,0,0,0,1,0,0,2,0,0,1,4,0,0,0,0,0,0,31,1,0,0,7,0,0,0,0,0,0,0,0,4,0
912349172,Spain,Alboran Sea,AND55,36.43,-5.12,POINT (-5.12 36.43),2015-07-02T14:00:00Z,7.0,0,0,0,0,0,10,0,48,0,0,0,6,0,15,28,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,15,1,0,0,0,0,0,1,0,3,3,0,0,0,0
912349174,Spain,Alboran Sea,AND56,36.45,-5.05,POINT (-5.05 36.45),2015-07-03T14:00:00Z,6.9,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912349139,Spain,Alboran Sea,AND38,36.7,-3.41,POINT (-3.41 36.7),2015-06-27T14:00:00Z,9.0,0,0,19,0,0,262,0,29,0,0,0,2,0,6,4,1,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,12,0
