mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_features,param_max_samples,param_min_samples_split,param_n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
6.076296806335449,0.0,2.7219748497009277,0.0,True,1,0.75,10,400,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 400}",0.008847318457198416,0.008847318457198416,0.0,200
7.963565349578857,0.0,2.9905571937561035,0.0,True,1,0.75,10,500,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 500}",0.008764795206874952,0.008764795206874952,0.0,201
1.7631285190582275,0.0,0.5663740634918213,0.0,True,1,1.0,2,50,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 2, 'n_estimators': 50}",0.009965836074393677,0.009965836074393677,0.0,153
1.9178123474121094,0.0,0.8291323184967041,0.0,True,1,1.0,2,100,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 2, 'n_estimators': 100}",0.009681915819623544,0.009681915819623544,0.0,164
3.969170093536377,0.0,1.632652759552002,0.0,True,1,1.0,2,200,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 2, 'n_estimators': 200}",0.011120886530056447,0.011120886530056447,0.0,112
6.490156650543213,0.0,2.271712064743042,0.0,True,1,1.0,2,300,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 2, 'n_estimators': 300}",0.010976644379348453,0.010976644379348453,0.0,116
8.08789587020874,0.0,3.118598461151123,0.0,True,1,1.0,2,400,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 2, 'n_estimators': 400}",0.010376750512332137,0.010376750512332137,0.0,147
9.630809783935547,0.0,3.4369351863861084,0.0,True,1,1.0,2,500,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 2, 'n_estimators': 500}",0.010788999581110703,0.010788999581110703,0.0,126
1.8580107688903809,0.0,0.6112213134765625,0.0,True,1,1.0,5,50,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 5, 'n_estimators': 50}",0.010547994896975332,0.010547994896975332,0.0,137
1.855623483657837,0.0,1.0612409114837646,0.0,True,1,1.0,5,100,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 5, 'n_estimators': 100}",0.011525215542138145,0.011525215542138145,0.0,91
5.212035179138184,0.0,1.8935222625732422,0.0,True,1,1.0,5,200,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 5, 'n_estimators': 200}",0.008975364113108402,0.008975364113108402,0.0,193
5.8783323764801025,0.0,2.3070755004882812,0.0,True,1,1.0,5,300,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 5, 'n_estimators': 300}",0.009322133444424499,0.009322133444424499,0.0,182
8.523611068725586,0.0,3.0697174072265625,0.0,True,1,1.0,5,400,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 5, 'n_estimators': 400}",0.00963797647429118,0.00963797647429118,0.0,168
9.959815740585327,0.0,2.877760171890259,0.0,True,1,1.0,5,500,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 5, 'n_estimators': 500}",0.008059762794596297,0.008059762794596297,0.0,215
0.9865400791168213,0.0,0.3511390686035156,0.0,True,1,1.0,10,50,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 10, 'n_estimators': 50}",0.00897225940468237,0.00897225940468237,0.0,195
2.7458083629608154,0.0,0.9082612991333008,0.0,True,1,1.0,10,100,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 10, 'n_estimators': 100}",0.009610380191337859,0.009610380191337859,0.0,169
3.485464096069336,0.0,1.2745659351348877,0.0,True,1,1.0,10,200,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 10, 'n_estimators': 200}",0.008943253773111186,0.008943253773111186,0.0,196
4.489464044570923,0.0,2.1977343559265137,0.0,True,1,1.0,10,300,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 10, 'n_estimators': 300}",0.008708298106576955,0.008708298106576955,0.0,203
6.981884241104126,0.0,2.8412351608276367,0.0,True,1,1.0,10,400,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 10, 'n_estimators': 400}",0.008603414371113319,0.008603414371113319,0.0,207
9.469749927520752,0.0,3.4999499320983887,0.0,True,1,1.0,10,500,"{'bootstrap': True, 'max_features': 1, 'max_samples': 1.0, 'min_samples_split': 10, 'n_estimators': 500}",0.008325441663678192,0.008325441663678192,0.0,213
4.321720123291016,0.0,0.5923104286193848,0.0,True,sqrt,0.5,2,50,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 50}",0.00983846711760752,0.00983846711760752,0.0,158
6.7429914474487305,0.0,0.9931867122650146,0.0,True,sqrt,0.5,2,100,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 100}",0.010540743885039137,0.010540743885039137,0.0,138
16.581315517425537,0.0,1.7191216945648193,0.0,True,sqrt,0.5,2,200,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 200}",0.011655221670781719,0.011655221670781719,0.0,84
24.729297161102295,0.0,2.401487350463867,0.0,True,sqrt,0.5,2,300,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 300}",0.012133193207433252,0.012133193207433252,0.0,67
32.24005603790283,0.0,3.1369290351867676,0.0,True,sqrt,0.5,2,400,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 400}",0.011987528935751937,0.011987528935751937,0.0,74
38.523157835006714,0.0,3.4792535305023193,0.0,True,sqrt,0.5,2,500,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 500}",0.011672544133726178,0.011672544133726178,0.0,83
5.23851752281189,0.0,0.7123744487762451,0.0,True,sqrt,0.5,5,50,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 5, 'n_estimators': 50}",0.010720959026900815,0.010720959026900815,0.0,131
9.491769790649414,0.0,0.6653501987457275,0.0,True,sqrt,0.5,5,100,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 5, 'n_estimators': 100}",0.011960885309282514,0.011960885309282514,0.0,76
14.533642292022705,0.0,1.6134474277496338,0.0,True,sqrt,0.5,5,200,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 5, 'n_estimators': 200}",0.012796714439662354,0.012796714439662354,0.0,38
22.59088706970215,0.0,2.2900545597076416,0.0,True,sqrt,0.5,5,300,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 5, 'n_estimators': 300}",0.010456145001448038,0.010456145001448038,0.0,145
31.293917894363403,0.0,3.0413639545440674,0.0,True,sqrt,0.5,5,400,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 5, 'n_estimators': 400}",0.011464269135520727,0.011464269135520727,0.0,95
37.73690414428711,0.0,3.324070692062378,0.0,True,sqrt,0.5,5,500,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 5, 'n_estimators': 500}",0.012119022217617426,0.012119022217617426,0.0,69
5.299032211303711,0.0,0.5862581729888916,0.0,True,sqrt,0.5,10,50,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 50}",0.011379762636825589,0.011379762636825589,0.0,98
8.521936893463135,0.0,1.0356333255767822,0.0,True,sqrt,0.5,10,100,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 100}",0.013274685164251215,0.013274685164251215,0.0,31
14.846938371658325,0.0,1.800537109375,0.0,True,sqrt,0.5,10,200,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 200}",0.010877187779013617,0.010877187779013617,0.0,122
22.92777371406555,0.0,2.334284543991089,0.0,True,sqrt,0.5,10,300,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 300}",0.010919572349664,0.010919572349664,0.0,118
30.61479687690735,0.0,3.0447771549224854,0.0,True,sqrt,0.5,10,400,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 400}",0.011218503357347856,0.011218503357347856,0.0,108
35.35910606384277,0.0,3.631777763366699,0.0,True,sqrt,0.5,10,500,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_split': 10, 'n_estimators': 500}",0.011124209126963273,0.011124209126963273,0.0,111
6.208489179611206,0.0,0.6902942657470703,0.0,True,sqrt,0.75,2,50,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 50}",0.01361108082781403,0.01361108082781403,0.0,24
8.028284311294556,0.0,0.710425615310669,0.0,True,sqrt,0.75,2,100,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 100}",0.012314165379667561,0.012314165379667561,0.0,53
19.87925362586975,0.0,1.7721972465515137,0.0,True,sqrt,0.75,2,200,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 200}",0.016748898750075212,0.016748898750075212,0.0,1
29.477160453796387,0.0,2.370640754699707,0.0,True,sqrt,0.75,2,300,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 300}",0.016013058509087293,0.016013058509087293,0.0,3
39.03864026069641,0.0,3.0105669498443604,0.0,True,sqrt,0.75,2,400,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 400}",0.013656229826648533,0.013656229826648533,0.0,22
46.564539194107056,0.0,3.592371702194214,0.0,True,sqrt,0.75,2,500,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 500}",0.013926201470655675,0.013926201470655675,0.0,16
6.085918188095093,0.0,0.8557507991790771,0.0,True,sqrt,0.75,5,50,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 50}",0.012155872890816627,0.012155872890816627,0.0,64
10.014257431030273,0.0,1.0649616718292236,0.0,True,sqrt,0.75,5,100,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 100}",0.014966712340331053,0.014966712340331053,0.0,6
19.160378456115723,0.0,1.7851409912109375,0.0,True,sqrt,0.75,5,200,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 200}",0.012468557274613717,0.012468557274613717,0.0,47
28.158788204193115,0.0,2.423370361328125,0.0,True,sqrt,0.75,5,300,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 300}",0.012126721521633958,0.012126721521633958,0.0,68
37.79109978675842,0.0,2.9638633728027344,0.0,True,sqrt,0.75,5,400,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 400}",0.012255212055045048,0.012255212055045048,0.0,58
45.734949350357056,0.0,3.5234899520874023,0.0,True,sqrt,0.75,5,500,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 500}",0.01154530443746411,0.01154530443746411,0.0,90
5.932169437408447,0.0,0.7780711650848389,0.0,True,sqrt,0.75,10,50,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 50}",0.009866360975314778,0.009866360975314778,0.0,156
9.961349964141846,0.0,1.0703704357147217,0.0,True,sqrt,0.75,10,100,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 100}",0.01257460147287304,0.01257460147287304,0.0,43
18.573522567749023,0.0,1.6832530498504639,0.0,True,sqrt,0.75,10,200,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 200}",0.011611498249263342,0.011611498249263342,0.0,87
27.908463954925537,0.0,2.291625499725342,0.0,True,sqrt,0.75,10,300,"{'bootstrap': True, 'max_features': 'sqrt', 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 300}",0.01161415445189339,0.01161415445189339,0.0,86
