mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_features,param_max_samples,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10.154652309417724,0.709279855752029,0.1565876007080078,0.10422144609886949,True,1,0.75,2,300,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 300}",-0.45725880071220176,-0.42442323209103616,-0.4453711794645664,-0.4349501829716185,-0.4459423723020904,-0.4415891535083027,0.011113387112719784,196
13.209854221343994,0.9267443031319068,0.23280701637268067,0.11820807027929808,True,1,0.75,2,400,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 400}",-0.4591858498380792,-0.42442587641267904,-0.4469108094836916,-0.4355246021890474,-0.44688235685788724,-0.4425858989562769,0.011767506971891448,205
16.028598165512086,0.8571284133351699,0.25481691360473635,0.11628212358917833,True,1,0.75,2,500,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 2, 'n_estimators': 500}",-0.45977713264305137,-0.4238940118111783,-0.44788955115299384,-0.4344896683481369,-0.44733627470712534,-0.4426773277324972,0.012337966696915321,207
1.598388147354126,0.22287699061877603,0.11201262474060059,0.05914326084955273,True,1,0.75,5,50,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 50}",-0.45058568491189827,-0.42242244756541886,-0.44283257694041167,-0.42856500940212716,-0.44811685384285754,-0.4385045145325427,0.011086122037310103,185
2.668832302093506,0.30370009432032535,0.044556617736816406,0.012391327487276173,True,1,0.75,5,100,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 100}",-0.4482498729547876,-0.41689828940146195,-0.437907972322986,-0.4284487399859384,-0.4433519902498584,-0.4349713729830064,0.011174596317698019,165
5.532035303115845,0.29319901626579814,0.2143247127532959,0.15062205218312774,True,1,0.75,5,200,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 200}",-0.4486998317498024,-0.41963552381282715,-0.4380388867916934,-0.42945813018701506,-0.44228941539334804,-0.4356243575869372,0.01014776957987169,170
8.25650577545166,0.25485184400193556,0.2767057418823242,0.14484682180019723,True,1,0.75,5,300,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 300}",-0.4481555322456235,-0.4206583847913114,-0.4394112249234229,-0.42939728775354163,-0.4416256739864682,-0.43584962074007355,0.009694220175615107,173
10.827338695526123,0.8150675463525693,0.16257619857788086,0.09041059020040525,True,1,0.75,5,400,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 400}",-0.4488664050961158,-0.42097607216267485,-0.4398934846304757,-0.4287070188981462,-0.4417621598631821,-0.4360410281301189,0.009927775716945026,174
13.843052625656128,0.6755231295510286,0.3190155029296875,0.24024191101994438,True,1,0.75,5,500,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 5, 'n_estimators': 500}",-0.44920647588096385,-0.42079486524650545,-0.44104735727074984,-0.4286154110164821,-0.4414194333088622,-0.43621670854471273,0.010146433288234252,176
1.2601189613342285,0.14306396391611909,0.09644784927368164,0.058316407384397424,True,1,0.75,10,50,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 50}",-0.4336335387080058,-0.4153633587412587,-0.4244327606282032,-0.4195704378322063,-0.4266654089657088,-0.4239331009750765,0.00623356993363054,93
2.5562982082366945,0.2867439858436865,0.14020185470581054,0.0776315991152668,True,1,0.75,10,100,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 100}",-0.43581326948981153,-0.4128779213286835,-0.42211611777249053,-0.41711989985636283,-0.4266468722947139,-0.4229148161484124,0.007940485794071537,79
4.63579306602478,0.21133531265788705,0.17871451377868652,0.05052187372301154,True,1,0.75,10,200,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 200}",-0.4352957544009345,-0.41193591437507854,-0.4221937962842543,-0.4188339815236394,-0.4251485455867444,-0.4226815984341302,0.007690443312747726,77
7.105271816253662,0.3807050884778162,0.17195487022399902,0.07836274401105828,True,1,0.75,10,300,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 300}",-0.4331443758883865,-0.4125639876043073,-0.4236575761341322,-0.418626371188029,-0.4251664871700107,-0.42263175959697313,0.006861419881201362,75
9.145249080657958,0.4093870719709596,0.20530662536621094,0.07405796379234168,True,1,0.75,10,400,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 400}",-0.4331260987747559,-0.4123519293064148,-0.42351529032838126,-0.4183559431525301,-0.4249549242996676,-0.4224608371723499,0.006929939686037517,73
12.069588565826416,0.5091256300686469,0.3019524097442627,0.15194594837427033,True,1,0.75,10,500,"{'bootstrap': True, 'max_features': 1, 'max_samples': 0.75, 'min_samples_split': 10, 'n_estimators': 500}",-0.433164412648126,-0.4119951844259889,-0.42380750177417004,-0.4184494615944005,-0.42483910213275367,-0.4224511325150878,0.00703785092581868,72
